,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率Tariff rate,単位Unit,単位Unit,他法令Law
13,101.9,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
14,1.02,,牛（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,家畜のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
16,102.21,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
17,102.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,100.0,1 1頭の重量が300キログラム以下のもの,"45,000円/頭",,"38,250円/頭",,無税,,,,,,,,,,,,,,"30,600円/頭",,"31,078.13円/頭","31,078.13円/頭",,,NO,PMAN
19,,200.0,2 その他のもの,"75,000円/頭",,"63,750円/頭",,無税,,,,,,,,,,,,,,"51,000円/頭",,"51,796.88円/頭","51,796.88円/頭",,,NO,PMAN
20,,,水牛,,,,,,,,,,,,,,,,,,,,,,,,,,
21,102.31,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
22,102.39,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
23,102.9,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,100.0,1 純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
25,,,2 その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,210.0,(1)1頭の重量が300キログラム以下のもの,"45,000円/頭",,"38,250円/頭",,無税,,,,,,,,,,,,,,"30,600円/頭",,"31,078.13円/頭","31,078.13円/頭",,,NO,PMAN
27,,290.0,(2)その他のもの,"75,000円/頭",,"63,750円/頭",,無税,,,,,,,,,,,,,,"51,000円/頭",,"51,796.88円/頭","51,796.88円/頭",,,NO,PMAN
28,1.03,,豚（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
29,103.1,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
30,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
31,103.91,0.0,1頭の重量が50キログラム未満のもの,10%,,8.5%,,無税,,,,,,,,8.5%,,,,,,,,無税,無税,,,NO,PMAN
32,103.92,,1頭の重量が50キログラム以上のもの,(10%),,,,無税,,,,,,,,,,,,,,,,,,,,,
33,,11.0,*〔1〕1頭の課税価格が生きている豚に係る従量税適用限度価格（生きている豚に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第1項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,"19,508円/頭","(19,508円/頭)",,,,,,,,,,,,,,,,,,"（20,400.55円×1.069-課税価格）/頭又は15,850.25円/kgのうちいずれか低い税率","（20,400.55円×1.069-課税価格）/頭又は15,850.25円/頭のうちいずれか低い税率",,,NO,PMAN
34,,12.0,*〔2〕1頭の課税価格が生きている豚に係る従量税適用限度価格を超え、生きている豚に係る分岐点価格（生きている豚に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、9.8％の場合は0.098）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1頭につき、生きている豚に係る基準輸入価格と課税価格との差額,"(19,508円/頭)",,,,,,,,,,,,,,,,,,"（20,400.55円×1.069-課税価格）/頭又は15,850.25円/kgのうちいずれか低い税率","（20,400.55円×1.069-課税価格）/頭又は15,850.25円/頭のうちいずれか低い税率",,,NO,PMAN
35,,20.0,*〔3〕1頭の課税価格が生きている豚に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,,,,6.9%,6.9%,6.9%,,NO,PMAN
36,1.04,,羊及びやぎ（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
37,104.1,0.0,羊,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
38,104.2,0.0,やぎ,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
39,1.05,,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,1羽の重量が185グラム以下のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
41,105.11,0.0,鶏（ガルルス・ドメスティクス）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
42,105.12,0.0,七面鳥,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
43,105.13,0.0,あひる,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
44,105.14,0.0,がちよう,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
45,105.15,0.0,ほろほろ鳥,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
46,,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
47,105.94,0.0,鶏（ガルルス・ドメスティクス）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
48,105.99,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,PMAN
49,1.06,,その他の動物（生きているものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,哺乳類,,,,,,,,,,,,,,,,,,,,,,,,,,
51,106.11,0.0,霊長類,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
52,106.12,,くじら目、海牛目及び鰭脚下目,無税,,(無税),,,,,,,,,,,,,,,,,,,,,,,
53,,10.0,－ くじら目及び海牛目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,NO,KG,ILJKWAIAPMPLAN
54,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,ILJKWAIAPMPLAN
55,106.13,0.0,らくだ科,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
56,106.14,0.0,うさぎ,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
57,106.19,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,,,,,,,,,
58,,10.0,－ 食肉目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
59,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
60,106.2,,爬虫類,無税,,(無税),,,,,,,,,,,,,,,,,,,,,,,
61,,10.0,－ かめ目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
62,,20.0,－ ワニ目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
63,,,－ 有鱗目,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,31.0,－－ トカゲ亜目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
65,,39.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
66,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
67,,,鳥類,,,,,,,,,,,,,,,,,,,,,,,,,,
68,106.31,0.0,猛きん類,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
69,106.32,0.0,おうむ目,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
70,106.33,0.0,エミュー（ドロマイウス・ノヴァイホルランディアイ）及びだちよう,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
71,106.39,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
72,,,昆虫類,,,,,,,,,,,,,,,,,,,,,,,,,,
73,106.41,0.0,蜂,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
74,106.49,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
75,106.9,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,,,,,,,,,
76,,,－ 両生類,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,11.0,－－ 無尾目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
78,,12.0,－－ 有尾目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
79,,19.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
80,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO,KG,WAHUIAPMPLRAAN
0,2.01,,牛の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
1,201.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
2,201.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,四分体以外のもので、関税割当数量以内のもの　34.6%,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
3,201.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,,,,,,,,
4,,10.0,－ ロインのもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
5,,20.0,－ かた、うで及びもものもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
6,,30.0,－ ばらのもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
7,,90.0,－ その他のもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,28.2%,,25.8%,25.8%,25.8%,,KG,FDAN
8,2.02,,牛の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
9,202.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
10,202.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
11,202.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,,,,,,,,
12,,10.0,－ ロインのもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
13,,20.0,－ かた、うで及びもものもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
14,,30.0,－ ばらのもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
15,,90.0,－ その他のもの,,,,,,,関税割当数量以内のもの　34.6%,,関税割当数量以内のもの　30.8%,,,,,,,,,,26.4%,,25.8%,25.8%,25.8%,,KG,FDAN
16,2.03,,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,,,,,
18,203.11,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
20,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
21,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格（枝肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第2項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの　(401.65円/kg-課税価格/kg)又は361円/kgのうちいずれか低い税率,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,FDAN
22,,,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格（枝肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
23,,31.0,－ 課税価格が1キログラムにつき、299円25銭未満のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,
24,,32.0,－ 課税価格が1キログラムにつき、299円25銭以上のもの,,,,,,,,,,,,,,,,,,,関税割当数量以内のもの　401.65円/kg-課税価格/kg,,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,（393円×1.017-課税価格）/kg又は93.75円/kgのうちいずれか低い税率,,KG,
25,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,関税割当数量以内のもの　(401.65円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
26,203.12,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
28,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
29,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格（部分肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第3項第1号に定める価格をいう。以下この項及び第02.06項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
30,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格（部分肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
31,,24.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
32,,25.0,－ 課税価格が1キログラムにつき、399円以上のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
33,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
34,203.19,,その他のもの,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,KG,FDAN
36,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,,,,,
37,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,FDAN
38,,,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,,,,,,,,,FDAN
39,,24.0,－ 課税価格が1キログラムにつき、399円未満のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
40,,25.0,－ 課税価格が1キログラムにつき、399円以上のもの,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,（524円×1.017-課税価格）/kg又は125円/kgのうちいずれか低い税率,,KG,
41,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,1.7%,1.7%,1.7%,,KG,FDAN
42,,,冷凍したもの,,,,,,,,,,,,,,,,,,,,,,,,,,
43,203.21,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,,,,,,,,,
