,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
54,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
55,106.13,0.0,らくだ科,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
56,106.14,0.0,うさぎ,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
57,106.19,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,,,,,
58,,10.0,－ 食肉目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
59,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
60,106.2,,爬虫類,無税,,(無税),,,,,,,,,,,,,,,,,,,
61,,10.0,－ かめ目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
62,,20.0,－ ワニ目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
63,,,－ 有鱗目,,,,,,,,,,,,,,,,,,,,,,
64,,31.0,－－ トカゲ亜目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
65,,39.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
66,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
67,,,鳥類,,,,,,,,,,,,,,,,,,,,,,
68,106.31,0.0,猛きん類,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
69,106.32,0.0,おうむ目,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
70,106.33,0.0,エミュー（ドロマイウス・ノヴァイホルランディアイ）及びだちよう,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
71,106.39,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
72,,,昆虫類,,,,,,,,,,,,,,,,,,,,,,
73,106.41,0.0,蜂,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
74,106.49,0.0,その他のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
75,106.9,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,,,,,
76,,,－ 両生類,,,,,,,,,,,,,,,,,,,,,,
77,,11.0,－－ 無尾目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
78,,12.0,－－ 有尾目,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
79,,19.0,－－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
80,,90.0,－ その他のもの,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,NO,KG
0,2.01,,牛の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
1,201.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,30.5%,,,KG
2,201.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,四分体以外のもので、関税割当数量以内のもの　34.6%,,,,,,,,,,,,30.5%,,,KG
3,201.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,,,,
4,,10.0,－ ロインのもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,30.5%,,,KG
5,,20.0,－ かた、うで及びもものもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,30.5%,,,KG
6,,30.0,－ ばらのもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,30.5%,,,KG
7,,90.0,－ その他のもの,,,,,,,関税割当数量以内のもの　30.8%,,,,,,,,,,,,30.5%,,,KG
8,2.02,,牛の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
9,202.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,27.5%,,,KG
10,202.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,27.5%,,,KG
11,202.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,,,,,
12,,10.0,－ ロインのもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,27.5%,,,KG
13,,20.0,－ かた、うで及びもものもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,27.5%,,,KG
14,,30.0,－ ばらのもの,,,,,,,関税割当数量以内のもの　30.8%,,関税割当数量以内のもの　30.8%,,,,,,,,,,27.5%,,,KG
15,,90.0,－ その他のもの,,,,,,,関税割当数量以内のもの　34.6%,,関税割当数量以内のもの　30.8%,,,,,,,,,,27.5%,,,KG
16,2.03,,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
17,,,生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,,,,,
18,203.11,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,,,,,
19,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
20,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
21,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格（枝肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第2項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの (401.65円/kg-課税価格/kg)又は361円/ｋｇのうちいずれか低い税率,,,KG
22,,30.0,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格（枝肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの 401.65円/kg-課税価格/kg,,,KG
23,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,関税割当数量以内のもの (401.65円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
24,203.12,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,,,,,
25,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
26,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
27,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格（部分肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第3項第1号に定める価格をいう。以下この項及び第02.06項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,,,KG
28,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格（部分肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,,,,,,,,,,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,KG
29,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
30,203.19,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
31,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
32,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
33,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,,,KG
34,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,,,,,,,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,KG
35,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
36,,,冷凍したもの,,,,,,,,,,,,,,,,,,,,,,
37,203.21,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,,,,,
38,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
39,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
40,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの (401.65円/kg-課税価格/kg)又は361円/ｋｇのうちいずれか低い税率,,,KG
41,,30.0,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,,関税割当数量以内のもの 401.65円/kg-課税価格/kg,,,KG
42,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,,関税割当数量以内のもの (401.65円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
43,203.22,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,,,,,
44,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
45,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
46,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,,,KG
47,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,KG
48,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
49,203.29,,その他のもの,,,,,,,,,,,,,,,,,,,,,,
50,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
51,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,,,,,
52,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/kgのうちいずれか低い税率,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は482円/ｋｇのうちいずれか低い税率,,,KG
53,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,関税割当数量以内のもの　535.53円/kg-課税価格/kg,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,,,,,,,関税割当数量以内のもの 535.53円/kg-課税価格/kg,関税割当数量以内のもの 535.53円/kg-課税価格/kg,,,KG
54,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,関税割当数量以内のもの　(535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,,,,,,,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,関税割当数量以内のもの (535.53円/kg-課税価格/kg)又は2.2%のうちいずれか高い税率,,,KG
55,2.04,,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
56,204.1,0.0,子羊の枝肉及び半丸枝肉（生鮮のもの及び冷蔵したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
57,,,その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
58,204.21,0.0,枝肉及び半丸枝肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
59,204.22,0.0,その他の骨付き肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
60,204.23,0.0,骨付きでない肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
61,204.3,0.0,子羊の枝肉及び半丸枝肉（冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
62,,,その他の羊の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,,,,,
63,204.41,0.0,枝肉及び半丸枝肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
64,204.42,0.0,その他の骨付き肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
65,204.43,0.0,骨付きでない肉,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
