,統計番号Statistical code,統計番号Statistical code,品名Description,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率Tariff rate,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA),単位Unit,単位Unit
21,,99.0,(2)その他のもの,"75,000円/頭",,"63,750円/頭",,無税,,,,,,,,,,,,,NO
22,1.03,,豚（生きているものに限る。）,,,,,,,,,,,,,,,,,,
23,103.1,0.0,純粋種の繁殖用のもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,NO
24,,,その他のもの,,,,,,,,,,,,,,,,,,
25,103.91,0.0,1頭の重量が50キログラム未満のもの,10%,,8.5%,,無税,,,,,,,,8.5%,,,,,NO
26,103.92,,1頭の重量が50キログラム以上のもの,(10%),,,,無税,,,,,,,,,,,,,
27,,11.0,*〔1〕1頭の課税価格が生きている豚に係る従量税適用限度価格（生きている豚に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第1項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,"19,508円/頭","(19,508円/頭)",,,,,,,,,,,,,,,NO
28,,12.0,*〔2〕1頭の課税価格が生きている豚に係る従量税適用限度価格を超え、生きている豚に係る分岐点価格（生きている豚に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、9.8％の場合は0.098）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1頭につき、生きている豚に係る基準輸入価格と課税価格との差額,"(19,508円/頭)",,,,,,,,,,,,,,,NO
29,,20.0,*〔3〕1頭の課税価格が生きている豚に係る分岐点価格を超えるもの,,8.5%,(8.5%),,,,,,,,,,,,,,,NO
30,1.04,,羊及びやぎ（生きているものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
31,104.1,0.0,羊,無税,,(無税),,,,,,,,,,,,,,,NO
32,104.2,0.0,やぎ,無税,,(無税),,,,,,,,,,,,,,,NO
33,1.05,,家きん（鶏（ガルルス・ドメスティクス）、あひる、がちよう、七面鳥及びほろほろ鳥で、生きているものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
34,,,1羽の重量が185グラム以下のもの,,,,,,,,,,,,,,,,,,
35,105.11,0.0,鶏（ガルルス・ドメスティクス）,無税,,(無税),,,,,,,,,,,,,,,NO
36,105.12,0.0,七面鳥,無税,,(無税),,,,,,,,,,,,,,,NO
37,105.19,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,NO
38,,,その他のもの,,,,,,,,,,,,,,,,,,
39,105.94,0.0,鶏（ガルルス・ドメスティクス）,無税,,(無税),,,,,,,,,,,,,,,NO
40,105.99,0.0,その他のもの,無税,,(無税),,,,,,,,,,,,,,,NO
41,1.06,,その他の動物（生きているものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
42,,,哺乳類,,,,,,,,,,,,,,,,,,
43,106.11,0.0,霊長類,無税,,(無税),,,,,,,,,,,,,,NO,KG
44,106.12,0.0,くじら目及び海牛目,無税,,(無税),,,,,,,,,,,,,,NO,KG
45,106.19,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,
46,,,－ 食肉目,,,,,,,,,,,,,,,,,,
47,,12.0,－－ フェレット,,,,,,,,,,,,,,,,,NO,KG
48,,19.0,－－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
49,,20.0,－ うさぎ目,,,,,,,,,,,,,,,,,NO,KG
50,,30.0,－ 翼手目,,,,,,,,,,,,,,,,,NO,KG
51,,,－ 齧歯目,,,,,,,,,,,,,,,,,,
52,,41.0,－－ ハムスター,,,,,,,,,,,,,,,,,NO,KG
53,,42.0,－－ モルモット,,,,,,,,,,,,,,,,,NO,KG
54,,44.0,－－ チンチラ,,,,,,,,,,,,,,,,,NO,KG
55,,45.0,－－ りす,,,,,,,,,,,,,,,,,NO,KG
56,,46.0,－－ ラット,,,,,,,,,,,,,,,,,NO,KG
57,,47.0,－－ マウス,,,,,,,,,,,,,,,,,NO,KG
58,,49.0,－－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
59,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
60,106.2,,爬虫類,無税,,(無税),,,,,,,,,,,,,,,
61,,10.0,－ かめ目,,,,,,,,,,,,,,,,,NO,KG
62,,20.0,－ ワニ目,,,,,,,,,,,,,,,,,NO,KG
63,,,－ 有鱗目,,,,,,,,,,,,,,,,,,
64,,31.0,－－ トカゲ亜目,,,,,,,,,,,,,,,,,NO,KG
65,,39.0,－－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
66,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
67,,,鳥類,,,,,,,,,,,,,,,,,,
68,106.31,0.0,猛禽類,無税,,(無税),,,,,,,,,,,,,,NO,KG
69,106.32,0.0,おうむ目,無税,,(無税),,,,,,,,,,,,,,NO,KG
70,106.39,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,
71,,10.0,－ はと目,,,,,,,,,,,,,,,,,NO,KG
72,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
73,106.9,,その他のもの,無税,,(無税),,,,,,,,,,,,,,,
74,,,－ 両生類,,,,,,,,,,,,,,,,,,
75,,11.0,－－ 無尾目,,,,,,,,,,,,,,,,,NO,KG
76,,12.0,－－ 有尾目,,,,,,,,,,,,,,,,,NO,KG
77,,19.0,－－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
78,,20.0,－ 昆虫類,,,,,,,,,,,,,,,,,NO,KG
79,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,NO,KG
0,2.01,,牛の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,
1,201.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,KG
2,201.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,4分体のもの以外のもので、附属書1第2節注釈1に定める関税割当数量以内のもの 34.6%,,,,,,,,,,,KG
3,201.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,,,
4,,10.0,－ ロインのもの,,,,,,,,,,,,,,,,,,KG
5,,20.0,－ かた、うで及びもものもの,,,,,,,,,,,,,,,,,,KG
6,,30.0,－ ばらのもの,,,,,,,,,,,,,,,,,,KG
7,,90.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
8,2.02,,牛の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
9,202.1,0.0,枝肉及び半丸枝肉,(50%),38.5%,(50%),,無税,,,,,,,,,,,,,KG
10,202.2,0.0,その他の骨付き肉,(50%),38.5%,(50%),,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.8%,,附属書1第2部第1節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,KG
11,202.3,,骨付きでない肉,(50%),38.5%,(50%),,無税,,,,附属書1第2部第1節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,
12,,10.0,－ ロインのもの,,,,,,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,,,KG
13,,20.0,－ かた、うで及びもものもの,,,,,,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,,,KG
14,,30.0,－ ばらのもの,,,,,,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.8%,,,,,,,,,,,KG
15,,90.0,－ その他のもの,,,,,,,附属書1第2節注釈1に定める関税割当数量以内のもの 34.6%,,,,,,,,,,,KG
16,2.03,,豚の肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
17,,,生鮮のもの及び冷蔵したもの,,,,,,,,,,,,,,,,,,
18,203.11,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,
19,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
20,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,
21,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格（枝肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第2項第1号に定める価格をいう。以下この項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項において同じ。）以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,KG
22,,30.0,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格（枝肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項において同じ。）以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,KG
23,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
24,203.12,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,
25,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
26,,,2 その他のもの,(5%),,,,無税,,※１,,,,,,,,,,,
27,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格（部分肉に係る基準輸入価格（関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に応じ、それぞれ同表第3項第1号に定める価格をいう。以下この項及び第02.06項において同じ。）から当該区分に対応する同法別表第1の3に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔1〕に定める額を控除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
28,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格（部分肉に係る基準輸入価格を、当該基準輸入価格に係る関税暫定措置法別表第1の3の2に定める期間内に輸入されるものの区分に対応するこの表に定める期間内に輸入されるものの区分に応じ、それぞれこの号の*〔3〕に定める率（例えば、4.9％の場合は0.049）に1を加えた数で除して得た価格をいう。以下この項及び第02.06項において同じ。）以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
29,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
30,203.19,,その他のもの,,,,,,,,,,,,,,,,,,
31,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
32,,,2 その他のもの,(5%),,,,無税,,※１,,※３,,,,,,,,,
33,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
34,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
35,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
36,,,冷凍したもの,,,,,,,,,,,,,,,,,,
37,203.21,,枝肉及び半丸枝肉,,,,,,,,,,,,,,,,,,
38,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
39,,,2 その他のもの,(5%),,,,無税,,,,,,,,,,,,,
40,,20.0,*〔1〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格以下のもの,,361円/kg,(361円/kg),,,,,,,,,,,,,,,KG
41,,30.0,*〔2〕課税価格が1キログラムにつき、枝肉に係る従量税適用限度価格を超え、枝肉に係る分岐点価格以下のもの,,1キログラムにつき枝肉に係る基準輸入価格と課税価格との差額,(361円/kg),,,,,,,,,,,,,,,KG
42,,40.0,*〔3〕課税価格が1キログラムにつき、枝肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
43,203.22,,骨付きのもも肉及び肩肉並びにこれらを分割したもの（骨付きのものに限る。）,,,,,,,,,,,,,,,,,,
44,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
45,,,2 その他のもの,(5%),,,,無税,,※１,,※３,,,,,,,,,
46,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
47,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
48,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
49,203.29,,その他のもの,,,,,,,,,,,,,,,,,,
50,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
51,,,2 その他のもの,(5%),,,,無税,,※１,,※３,,,,,,,,,
52,,23.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
53,,21.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
54,,22.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
55,2.04,,羊又はやぎの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
56,204.1,0.0,子羊の枝肉及び半丸枝肉（生鮮のもの及び冷蔵したものに限る。）,無税,,(無税),,,,,,,,,,,,,,,KG
57,,,その他の羊の肉（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,
58,204.21,0.0,枝肉及び半丸枝肉,無税,,(無税),,,,,,,,,,,,,,,KG
59,204.22,0.0,その他の骨付き肉,無税,,(無税),,,,,,,,,,,,,,,KG
60,204.23,0.0,骨付きでない肉,無税,,(無税),,,,,,,,,,,,,,,KG
61,204.3,0.0,子羊の枝肉及び半丸枝肉（冷凍したものに限る。）,無税,,(無税),,,,,,,,,,,,,,,KG
62,,,その他の羊の肉（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
63,204.41,0.0,枝肉及び半丸枝肉,無税,,(無税),,,,,,,,,,,,,,,KG
64,204.42,0.0,その他の骨付き肉,無税,,(無税),,,,,,,,,,,,,,,KG
65,204.43,0.0,骨付きでない肉,無税,,(無税),,,,,,,,,,,,,,,KG
66,204.5,0.0,やぎの肉,無税,,(無税),,,,,,,,,,,,,,,KG
67,2.05,,,,,,,,,,,,,,,,,,,,
68,205.0,0.0,馬、ろ馬、ら馬又はヒニーの肉（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
69,2.06,,食用のくず肉（牛、豚、羊、やぎ、馬、ろ馬、ら馬又はヒニーのもので、生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
70,206.1,,牛のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,
71,,20.0,1 ほほ肉及び頭肉,50%,,(50%),,無税,,,,,,,,50%,,,,,KG
72,,,2 その他のもの,,,,,,,,,,,,,,,,,,
73,,,(1)臓器及び舌,15%,,12.8%,,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 7.6%,,,,,,12.8%,,,,,
74,,11.0,－ 舌,,,,,,,,,,,,,,,,,,KG
75,,19.0,－ その他のもの,,,,,,,,,,,,,,,,,,KG
76,,90.0,(2)その他のもの,25%,,21.3%,,無税,,,,,,,,21.3%,,,,,KG
77,,,牛のもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
78,206.21,0.0,舌,15%,,12.8%,,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 7.6%,,附属書1第2部第1節注釈3に定める関税割当数量以内のもの 7.6%,,,,12.8%,,,,,KG
79,206.22,0.0,肝臓,15%,,12.8%,,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 11.5%,,附属書1第2部第1節注釈3に定める関税割当数量以内のもの 7.6%,,,,12.8%,,,,,KG
80,206.29,,その他のもの,,,,,,,,,,,,,,,,,,
81,,20.0,1 ほほ肉及び頭肉,50%,,(50%),,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 30.0%,,,,,,50%,,,,,KG
82,,,2 その他のもの,,,,,,,,,,,,,,,,,,
83,,10.0,(1)臓器,15%,,12.8%,,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 7.6%,,附属書1第2部第1節注釈3に定める関税割当数量以内のもの 7.6%,,,,12.8%,,,,,KG
84,,90.0,(2)その他のもの,25%,,21.3%,,無税,,附属書1第2節注釈1に定める関税割当数量以内のもの 19.1%,,附属書1第2部第1節注釈3に定める関税割当数量以内のもの 12.7%,,,,21.3%,,,,,KG
85,206.3,,豚のもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,
86,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
87,,,2 その他のもの,,,,,,,,,,,,,,,,,,
88,,91.0,(1)臓器,10%,,8.5%,4.3%,無税,,,,,,,,8.5%,,,,,KG
89,,,(2)その他のもの,(5%),,,,無税,,,,,,,,,,,,,
90,,93.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
91,,92.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
92,,99.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
93,,,豚のもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
94,206.41,,肝臓,,,,,,,,,,,,,,,,,,
95,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
96,,90.0,2 その他のもの,10%,,8.5%,4.3%,無税,,,,,,,,8.5%,,,,,KG
97,206.49,,その他のもの,,,,,,,,,,,,,,,,,,
98,,10.0,1 いのししのもの,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
99,,,2 その他のもの,,,,,,,,,,,,,,,,,,
100,,91.0,(1)臓器,10%,,8.5%,4.3%,無税,,4.3%,,,,,,8.5%,,,,,KG
101,,,(2)その他のもの,(5%),,,,無税,,※１,,※３,,,,,,,,,
102,,93.0,*〔1〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格以下のもの,,482円/kg,(482円/kg),,,,,,,,,,,,,,,KG
103,,92.0,*〔2〕課税価格が1キログラムにつき、部分肉に係る従量税適用限度価格を超え、部分肉に係る分岐点価格以下のもの,,1キログラムにつき部分肉に係る基準輸入価格と課税価格との差額,(482円/kg),,,,,,,,,,,,,,,KG
104,,99.0,*〔3〕課税価格が1キログラムにつき、部分肉に係る分岐点価格を超えるもの,,4.3%,(4.3%),,,,,,,,,,,,,,,KG
105,206.8,0.0,その他のもの（生鮮のもの及び冷蔵したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
106,206.9,0.0,その他のもの（冷凍したものに限る。）,無税,,(無税),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
107,2.07,,肉及び食用のくず肉で、第01.05項の家きんのもの（生鮮のもの及び冷蔵し又は冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
108,,,鶏（ガルルス・ドメスティクス）のもの,,,,,,,,,,,,,,,,,,
109,207.11,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,14%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 10.7%,,,,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,KG
110,207.12,0.0,分割してないもの（冷凍したものに限る。）,14%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 10.7%,,,9.6%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,KG
111,207.13,,分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,,,,,,,,,,,,,,,,,,
112,,100.0,1 骨付きのもも,20%,,8.5%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 7.6%,,,,,,8.5%,,,,,KG
113,,200.0,2 その他のもの,12%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 10.7%,,,9.6%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,KG
114,207.14,,分割したもの及びくずのもの（冷凍したものに限る。）,,,,,,,,,,,,,,,,,,
115,,100.0,1 肝臓,10%,,3%,無税,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
116,,,2 その他のもの,,,,,,,,,,,,,,,,,,
117,,210.0,(1)骨付きのもも,20%,,8.5%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 6.8%,,,,,,8.5%,,,,,KG
118,,220.0,(2)その他のもの,12%,,11.9%,,無税,,附属書1第2節注釈4に定める関税割当数量以内のもの 8.5%,,附属書1第2部第1節注釈5に定める関税割当数量以内のもの 8.5%,9.6%,,,11.9%,附属書1第2部第1節注釈2に定める関税割当数量以内のもの 8.5%,,,,KG
119,,,七面鳥のもの,,,,,,,,,,,,,,,,,,
120,207.24,0.0,分割してないもの（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
121,207.25,0.0,分割してないもの（冷凍したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
122,207.26,0.0,分割したもの及びくずのもの（生鮮のもの及び冷蔵したものに限る。）,5%,,3%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,KG
123,207.27,,分割したもの及びくずのもの（冷凍したものに限る。）,,,3%,,,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,,
124,,100.0,1 肝臓,10%,,,無税,,,,,,,,,,,,,,KG
125,,200.0,2 その他のもの,5%,,,無税,,,無税,,,,,,,,,,,KG
126,,,あひる、がちよう又はほろほろ鳥のもの,,,,,,,,,,,,,,,,,,
