,Unnamed: 0,統計番号Statistical code,統計番号Statistical code.1,品名Description,関税率Tariff rate,関税率Tariff rate.1,関税率Tariff rate.2,関税率Tariff rate.3,関税率Tariff rate.4,関税率（経済連携協定）Tariff rate (EPA),関税率（経済連携協定）Tariff rate (EPA).1,関税率（経済連携協定）Tariff rate (EPA).2,関税率（経済連携協定）Tariff rate (EPA).3,関税率（経済連携協定）Tariff rate (EPA).4,関税率（経済連携協定）Tariff rate (EPA).5,関税率（経済連携協定）Tariff rate (EPA).6,関税率（経済連携協定）Tariff rate (EPA).7,関税率（経済連携協定）Tariff rate (EPA).8,関税率（経済連携協定）Tariff rate (EPA).9,関税率（経済連携協定）Tariff rate (EPA).10,関税率（経済連携協定）Tariff rate (EPA).11,関税率（経済連携協定）Tariff rate (EPA).12,関税率（経済連携協定）Tariff rate (EPA).13,関税率（経済連携協定）Tariff rate (EPA).14,関税率（経済連携協定）Tariff rate (EPA).15,関税率（経済連携協定）Tariff rate (EPA).16,関税率（経済連携協定）Tariff rate (EPA).17,関税率（経済連携協定）Tariff rate (EPA).18,関税率（経済連携協定）Tariff rate (EPA).19,関税率（経済連携協定）Tariff rate (EPA).20,関税率Tariff rate.5,単位Unit,単位Unit.1,他法令Law,関税率（経済連携協定）Tariff rate (EPA).21,関税率（経済連携協定）Tariff rate (EPA).22,関税率（経済連携協定）Tariff rate (EPA).23
26777,3.0,6601.91,0.0,折畳み式のもの,6.4%,,4.3%,3.44%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4%,4%,4%,,NO,KG,,,,
11302,3.0,6702.1,0.0,プラスチック製のもの,8%,,6.6%,5.28%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,,,KG,,無税,5.4%,5.4%
26787,3.0,6702.1,0.0,プラスチック製のもの,8%,,6.6%,5.28%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,,,,,,KG,,無税,6%,6%
13031,3.0,8301.3,0.0,家具に使用する種類の錠,4.1%,,2.7%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.2%,無税,,,KG,,,,
28516,3.0,8301.3,0.0,家具に使用する種類の錠,4.1%,,2.7%,無税,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,2.5%,無税,,,KG,,,,
12786,3.0,,10.0,1 課税価格が1キログラムにつき242円以下のもの,8円/kg,,4.30円/kg,2.58円/kg,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.78円/kg,1.56円/kg,2.35円/kg,無税,無税,3.76円/kg,,,,,KG,,,,
28271,3.0,,10.0,1 課税価格が1キログラムにつき242円以下のもの,8円/kg,,4.30円/kg,2.58円/kg,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.17円/kg,1.95円/kg,2.74円/kg,無税,無税,4.03円/kg,,,,,KG,,,,
280,3.0,,100.0,1 こい（キュプリヌス属のもの）及び金魚（カラシウス・アウラトゥス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.3%,無税,無税,無税,2.9%,2.9%,2.9%,,NO,KG,ILFRIAFD,,,
15763,3.0,,100.0,1 こい（キュプリヌス属のもの）及び金魚（カラシウス・アウラトゥス）,5%,,3.5%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.6%,無税,無税,無税,3.2%,3.2%,3.2%,,NO,KG,ILFRIAFD,,,
24747,3.0,,100.0,1 メタ-アラミドのもの,無税,,(6.6%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,6%,無税,,,KG,,,,
9264,3.0,,100.0,1 メタ-アラミドのもの,無税,,(6.6%),,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,（5.4%）,無税,,,KG,,,,
12644,3.0,,100.0,1 焼結した酸化ニッケル（ニッケルの含有量が全重量の88％以上のものに限る。）,11.7%又は72.90円/kgのうちいずれか低い税率,,44円/kg,7.02%又は26.4円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,（オーストラリア、カナダ及びニュージーランドに対する待遇）　6.3%又は24円/kgのうちいずれか低い税率 （他の締約国に対する待遇）　無税,無税,無税,10.2%又は38.50円/kgのうちいずれか低い税率,10.2%又は38.50円/kgのうちいずれか低い税率,,,,KG,,,,
28129,3.0,,100.0,1 焼結した酸化ニッケル（ニッケルの含有量が全重量の88％以上のものに限る。）,11.7%又は72.90円/kgのうちいずれか低い税率,,44円/kg,7.02%又は26.4円/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,（オーストラリア、カナダ及びニュージーランドに対する待遇）　7.4%又は28円/kgのうちいずれか低い税率 （他の締約国に対する待遇）　無税,無税,無税,11%又は41.25円/kgのうちいずれか低い税率,11%又は41.25円/kgのうちいずれか低い税率,,,,KG,,,,
955,3.0,,110.0,"－ この号の1、第0401.20号の1、第0401.40号の1並びに第0401.50号の1の(1)及び(2)に掲げるミルク及びクリーム、第0403.20号の1並びに第0403.90号の1の(1)の*〔2〕、(2)の*〔2〕及び(3)の*〔2〕に掲げるバターミルク等、第0404.90号の1の(1)の*〔1〕及び*〔2〕、(2)の*〔1〕及び*〔2〕並びに(3)の*〔1〕及び*〔2〕に掲げるミルクの天然の組成分から成る物品、第1806.20号の1の(1)及び第1806.90号の2の(1)のAに掲げるココアを含有する調製食料品、第1901.10号の1の(1)及び(2)、第1901.20号の1の(1)のA及びB並びに第1901.90号の1の(1)のA及びBに掲げる調製食料品、第2101.12号の2の(1)のA及びB並びに第2101.20号の2の(1)のA及びBに掲げるコーヒー等をもととした調製品並びに第2106.10号の1並びに第2106.90号の1の(1)及び(2)に掲げる調製食料品について、133,940トン（全乳換算数量とし、政令で定めるところにより換算するものとする。）を基準とし、前年度における輸入数量、国際市況その他の条件を勘案して政令で定める数量（以下この項、第04.03項、第04.04項、第18.06項、第19.01項、第21.01項及び第21.06項において「その他の乳製品に係る共通の限度数量」という。）以内のもの",,25%,(25%),,,,,,,,,,,,,,,,,,10.4%,14.6%,14.6%,,,,,,KG,FDAN,,,
16438,3.0,,110.0,"－ この号の1、第0401.20号の1、第0401.40号の1並びに第0401.50号の1の(1)及び(2)に掲げるミルク及びクリーム、第0403.20号の1並びに第0403.90号の1の(1)の*〔2〕、(2)の*〔2〕及び(3)の*〔2〕に掲げるバターミルク等、第0404.90号の1の(1)の*〔1〕及び*〔2〕、(2)の*〔1〕及び*〔2〕並びに(3)の*〔1〕及び*〔2〕に掲げるミルクの天然の組成分から成る物品、第1806.20号の1の(1)及び第1806.90号の2の(1)のAに掲げるココアを含有する調製食料品、第1901.10号の1の(1)及び(2)、第1901.20号の1の(1)のA及びB並びに第1901.90号の1の(1)のA及びBに掲げる調製食料品、第2101.12号の2の(1)のA及びB並びに第2101.20号の2の(1)のA及びBに掲げるコーヒー等をもととした調製品並びに第2106.10号の1並びに第2106.90号の1の(1)及び(2)に掲げる調製食料品について、133,940トン（全乳換算数量とし、政令で定めるところにより換算するものとする。）を基準とし、前年度における輸入数量、国際市況その他の条件を勘案して政令で定める数量（以下この項、第04.03項、第04.04項、第18.06項、第19.01項、第21.01項及び第21.06項において「その他の乳製品に係る共通の限度数量」という。）以内のもの",,25%,(25%),,,,,,,,,,,,,,,,,,13.3%,16.7%,16.7%,,,,,,KG,FDAN,,,
12752,3.0,,20.0,2 課税価格が1キログラムにつき172円を超え180円以下のもの,(180円－課税価格)/kg,,2.70円/kg,1.08円/kg又は((180円－課税価格)×0.4)/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,0.98円/kg又は((180円-課税価格)×4/11)/kgのうちいずれか低い税率,1.47円/kg又は（（180円-課税価格）×6/11）/kgのうちいずれか低い税率,無税,無税,2.36円/kg又は((180円-課税価格)×14/16)/kgのうちいずれか低い税率,2.36円/kg又は((180円-課税価格)×14/16)/kgのうちいずれか低い税率,,,,KG,,,,
28237,3.0,,20.0,2 課税価格が1キログラムにつき172円を超え180円以下のもの,(180円－課税価格)/kg,,2.70円/kg,1.08円/kg又は((180円－課税価格)×0.4)/kgのうちいずれか低い税率,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,1.23円/kg又は((180円-課税価格)×5/11)/kgのうちいずれか低い税率,1.72円/kg又は（（180円-課税価格）×7/11）/kgのうちいずれか低い税率,無税,無税,2.53円/kg又は((180円-課税価格)×15/16)/kgのうちいずれか低い税率,2.53円/kg又は((180円-課税価格)×15/16)/kgのうちいずれか低い税率,,,,KG,,,,
2403,3.0,,200.0,2 その他のもの,10円/kg,,8.50円/kg,,無税,,,,,,,,,,,,,,,,1.42円/kg,1.42円/kg,1.42円/kg,,,,1.42円/kg,,KG,FDAN,,,
17886,3.0,,200.0,2 その他のもの,10円/kg,,8.50円/kg,,無税,,,,,,,,,,,,,,,,2.83円/kg,2.83円/kg,2.83円/kg,,,,2.83円/kg,,KG,FDAN,,,
10593,3.0,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8%,8%,8%,,NO,KG,CR,,,
26078,3.0,,200.0,2 その他のもの,11.2%,,9.1%,,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,8.5%,8.5%,8.5%,,NO,KG,CR,,,
3194,3.0,,200.0,2 その他のもの,12%,,(12%),9%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,4.4%,無税,無税,無税,10.5%,10.5%,,無税,,KG,FD,,,
18677,3.0,,200.0,2 その他のもの,12%,,(12%),9%,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,無税,5.5%,無税,無税,無税,11.3%,11.3%,,無税,,KG,FD,,,
11084,3.0,,90.0,2 その他のもの,20%,,6.7%,,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,,無税,1.2%,,3.6%,3.7%,3.7%,5.9%,6.1%,,,PR,KG,,,,
26569,3.0,,90.0,2 その他のもの,20%,,6.7%,,,,無税,無税,無税,無税,無税,,5%,無税,5%,5%,,無税,1.8%,,4.2%,4.3%,4.3%,6.3%,6.4%,,,PR,KG,,,,
