,date,tag,topic,link
26,Jan.28.2022,Statistics,Trade Statistics(First 10 Days of January 2022 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
27,Jan.20.2022,Release,Signing of Customs Mutual Assistance Agreement (CMAA) between Japan and the Republic of Moldova,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/information/ka20220120_e.htm
28,Jan.20.2022,Statistics,Trade Statistics(December 2021& Calendar Year January - December 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
29,Jan.11.2022,Statistics,Trade Statistics(First 20 Days of December 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
30,Jan.1.2022,Procedure,Japan's Tariff Schedule as of  January 1 2022,https://www.customs.go.jp/english/tariff/2022_1_1/index.htm
31,Dec.24.2021,Statistics,Trade Statistics(First 10 Days of December 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
32,Dec.16.2021,Other,CUSTOMS PROCEDURES FOR SUPERYACHTS,https://www.customs.go.jp/english/procedures/advance5_e/superyacht_e.htm
33,Dec.16.2021,Statistics,Trade Statistics(November 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
34,Dec.7.2021,Statistics,Trade Statistics(First 20 Days of November 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
35,Nov.26.2021,Statistics,Trade Statistics(First 10 Days of November 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
36,Nov.17.2021,Statistics,Trade Statistics(October 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
37,Nov.8.2021,Statistics,Trade Statistics(First 20 Days of October 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
38,Oct.28.2021,Statistics,Trade Statistics(First 10 Days of October 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
39,Oct.20.2021,Statistics,Trade Statistics(September 2021 & Fiscal Year April - September 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
40,Oct.8.2021,Release,Entry into force of Customs Mutual Assistance Agreement (CMAA) between Japan and the Oriental Republic of Uruguay,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/policy/customs_tariff/information/ka20211008_e.html
41,Oct.7.2021,Statistics,Trade Statistics(First 20 Days of September 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
42,Oct.1.2021,Other,Exemptions and Tax Rates of Tobacco Changed,https://www.customs.go.jp/english/summary/passenger.htm
43,Sep.29.2021,Statistics,Trade Statistics(First 10 Days of September 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
44,Sep.17.2021,Release,Entry into force of Customs Mutual Assistance Agreement (CMAA) between Japan and the Federative Republic of Brazil,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/policy/customs_tariff/information/ka20210917_e.html
45,Sep.16.2021,Statistics,Trade Statistics(August 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
46,Sep.7.2021,Statistics,Trade Statistics(First 20 Days of August 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
47,Aug.27.2021,Statistics,Trade Statistics(First 10 Days of August 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
48,Aug.23.2021,Release,Signing of Customs Mutual Assistance Agreement (CMAA) between Japan and the Islamic Republic of Iran,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/information/ka20210115_e.htm
49,Aug.18.2021,Statistics,Trade Statistics(July 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
50,Aug.10.2021,Release,Decision to Extend the Taxable Period of Anti-Dumping Duties on Potassium Hydroxide Originating in the Republic of Korea and the People’s Republic of China,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/policy/customs_tariff/traderemedy/ka20210810_e.html
51,Aug.6.2021,Statistics,Trade Statistics(First 20 Days of July 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
52,Jul.29.2021,Statistics,Trade Statistics(First 10 Days of July 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
53,Jul.21.2021,Statistics,Trade Statistics(June 2021 & Calendar Year January - June 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
54,Jul.15.2021,Other,【Update】List of issuing authorities for the certificate of origin under GSP(Republic of North Macedonia and Islamic Republic of Afghanistan),https://www.customs.go.jp/english/../roo/english/procedure/index.htm
55,Jul.7.2021,Statistics,Trade Statistics(First 20 Days of June 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
56,Jun.29.2021,Statistics,Trade Statistics(First 10 Days of June 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
57,Jun.18.2021,Release,Decision to Impose a Definitive  Anti-Dumping Duty on Dipotassium Carbonate Originating in the Republic of Korea,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/policy/customs_tariff/traderemedy/ka20210618_e.htm
58,Jun.16.2021,Statistics,Trade Statistics(May 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
59,Jun.14.2021,Release,Initiation of an Anti-Dumping Duty Investigation of Hot-dipped Galvanized Steel Wire Originating in the People’s Republic of China and the Republic of Korea,https://www.customs.go.jp/englishtps://www.mof.go.jp/english/policy/customs_tariff/traderemedy/ka20210614_e.htm
60,Jun.7.2021,Statistics,Trade Statistics(First 20 Days of May 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
61,May 28.2021,Statistics,Trade Statistics(First 10 Days of May 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
62,May 20.2021,Statistics,Trade Statistics(April 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
63,May 12.2021,Statistics,Trade Statistics(First 20 Days of April 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
64,Apr.28.2021,Statistics,Trade Statistics(First 10 Days of April 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
65,Apr.19.2021,Statistics,Trade Statistics(March 2021 & Fiscal Year April -March 2020(Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
66,Apr.7.2021,Statistics,Trade Statistics(First 20 Days of March 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
67,Apr.6.2021,Procedure,Methods to calculate the Customs value,https://www.customs.go.jp/english/exp-imp/pdf/shitsugi_outou_e.pdf
68,Apr.1.2021,Procedure,Japan's Tariff Schedule as of April 1 2021,https://www.customs.go.jp/english/tariff/2021_4/index.htm
69,Mar.30.2021,Statistics,Trade Statistics(First 10 Days of March 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
70,Mar.19.2021,Release,Decision to Impose a Provisional  Anti-Dumping Duty on Dipotassium Carbonate Originating in the Republic of Korea,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/traderemedy/ka20210319_e.htm
71,Mar.17.2021,Statistics,Trade Statistics(February 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
72,Mar.5.2021,Statistics,Trade Statistics(First 20 Days of February 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
73,Feb.26.2021,Other,"International Auction, Gallery and Art Fair in Customs Area",https://www.customs.go.jp/englishpdf/20210226_hozei.pdf
74,Feb.25.2021,Release,Preliminary determination of Anti-Dumping Duty Investigation of Dipotassium Carbonate Originating in the Republic of Korea,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/traderemedy/ka20210225_e.htm
75,Feb.25.2021,Statistics,Trade Statistics(First 10 Days of February 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
76,Feb.17.2021,Statistics,Trade Statistics(January 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
77,Feb.5.2021,Statistics,Trade Statistics(First 20 Days of January 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
78,Jan.28.2021,Statistics,Trade Statistics(First 10 Days of January 2021 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
79,Jan.21.2021,Statistics,Trade Statistics(December 2020 & Calendar Year January-December 2020(Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
80,Jan.15.2021,Release,Entry into force of Customs Mutual Assistance Agreement (CMAA) between Japan and the United Kingdom of Great Britain and Northern Ireland,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/information/ka20210115_e.htm
81,Jan.8.2021,Statistics,Trade Statistics(First 20 Days of December 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
82,Jan.7.2021,Release,Signing of Customs Mutual Assistance Agreement (CMAA) between Japan and the Oriental Republic of Uruguay,https://www.customs.go.jp/englishtp://www.mof.go.jp/english/customs_tariff/information/ka20210107_e.htm
83,Jan.1.2021,Procedure,Japan's Tariff Schedule as of January 1 2021,https://www.customs.go.jp/english/tariff/2021_1/index.htm
84,Dec.25.2020,Statistics,Trade Statistics(First 10 Days of December 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
85,Dec.16.2020,Statistics,Trade Statistics(November 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
86,Dec.7.2020,Statistics,Trade Statistics(First 20 Days of November 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
87,Dec.1.2020,Other,International Auction and Art Fair in Customs Area,https://www.customs.go.jp/english/hozei_e.pdf
88,Nov.27.2020,Statistics,Trade Statistics(First 10 Days of November 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
89,Nov.18.2020,Statistics,Trade Statistics(October 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
90,Nov.9.2020,Statistics,Trade Statistics(First 20 Days of October 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
91,Oct.29.2020,Statistics,Trade Statistics(First 10 Days of October 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
92,Oct.19.2020,Statistics,Trade Statistics(September 2020 & Fiscal Year April - September 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
93,Oct.7.2020,Statistics,Trade Statistics(First 20 Days of September 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
94,Oct.1.2020,Procedure,Japan's Tariff Schedule as of October 1 2020,https://www.customs.go.jp/english/tariff/2020_10/index.htm
95,Sep.29.2020,Statistics,Trade Statistics(First 10 Days of September 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
96,Sep.16.2020,Statistics,Trade Statistics(August 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
97,Sep.7.2020,Statistics,Trade Statistics(First 20 Days of August 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
98,Sep.1.2020,Other,SMART Customs Initiative 2020,https://www.customs.go.jp/english/smart_e/index_e.htm
99,Aug.28.2020,Statistics,Trade Statistics(First 10 Days of August 2020 (Provisional)),https://www.customs.go.jp/englishoukei/latest/index_e.htm
