,date,tag,topic,link
14,6月30日,法令,2025年日本国際博覧会のために使用される展示物品等の税関における取扱いについて（令和４年６月29日財関499号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu499/R4t499_honbun.pdf
15,6月30日,その他,アマゾンジャパン合同会社と覚書を締結しました,https://www.customs.go.jp/english/mizugiwa/boushi/boushi.htm
16,6月29日,統計,貿易統計（令和4年6月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
17,6月21日,法令,関税法基本通達等の一部改正について（令和4年6月20日財関第469号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu469/index.html
18,6月21日,法令,関税法基本通達等の一部改正について（令和4年6月20日財関第468号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu468/index.html
19,6月16日,統計,貿易統計（令和4年5月分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
20,6月15日,その他,総合職採用関連情報の更新,https://www.customs.go.jp/english/saiyou/sogosaiyo.html
21,6月10日,法令,経済安全保障に係る税関における対応について（令和４年６月10日財関第439号）,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z439.pdf
22,6月10日,法令,ロシアの産業基盤強化に資する物品の輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z438.pdf
23,6月8日,その他,「海外仕出人・仕向人コードリスト」を更新しました,https://www.customs.go.jp/english/zeikan/seido/zeikancode.htm
24,6月7日,統計,貿易統計（令和4年5月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
25,5月31日,報道資料,モルドバとの税関相互支援協定が発効します,https://www.customs.go.jp/englishews/hodo.htm#20220531
26,5月30日,その他,通関業者一覧を掲載しました,https://www.customs.go.jp/english/tsukangyousha/index.htm
27,5月27日,統計,貿易統計（令和4年5月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
28,5月25日,その他,品目分類事例の追加に関する件,https://www.customs.go.jp/english/tetsuzuki/bunruijirei/bunruijirei_index.htm
29,5月19日,その他,EPA相手国の事前教示制度に関する資料を掲載しました,https://www.customs.go.jp/english/kyotsu/kokusai/epa_aitekokujizenkyouzi.html
30,5月19日,統計,貿易統計（令和4年4月分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
31,5月13日,法令,ロシアに対する先端的な物品等の輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z341.pdf
32,5月13日,その他,関税・外国為替等審議会 関税分科会（令和4年3月28日開催）議事録,https://www.customs.go.jp/englishews/hodo.htm#20220513
33,5月11日,統計,貿易統計（令和4年4月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
34,4月28日,その他,NACCS用品目コード一覧（2022年4月1日）を掲載,https://www.customs.go.jp/english/tariff/2022_04_01/naccscode2022_1.html
35,4月28日,その他,NACCS用品目コード一覧（2022年4月1日）を掲載,https://www.customs.go.jp/english/tariff/2022_04_01/naccscode2022_2.html
36,4月28日,報道資料,中華人民共和国産及び大韓民国産溶融亜鉛めっき鉄線に対する不当廉売関税の課税に関する調査において調査対象貨物の変更及び調査期間の延長を行います,https://www.customs.go.jp/englishews/hodo.htm#20220428
37,4月28日,その他,地域的な包括的経済連携(RCEP)協定フォローアップセミナーの資料を掲載しました,https://www.customs.go.jp/english/kyotsu/kokusai/news/rcep_exp_0406.html
38,4月27日,統計,貿易統計（令和4年4月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
39,4月20日,法令,ロシアを原産地とする貨物に対する適正な関税率の適用について（令和4年4月20日財関第274号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu274/R4t274_honbun.pdf
40,4月20日,法令,関税法基本通達の一部改正について（令和４年４月20日財関第273号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu273/index.html
41,4月20日,法令,国際関係の緊急時に特定の国を原産地とする物品に課する関税に関する政令（令和４年政令第179号）,https://www.customs.go.jp/english/kaisei/seirei.htm
42,4月20日,法令,「関税暫定措置法の一部を改正する法律案」が参・本会議で可決、成立,https://www.customs.go.jp/englishews/movement.htm#20220420
43,4月20日,統計,貿易統計（令和4年3月分及び令和3年度分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
44,4月19日,法令,「関税暫定措置法の一部を改正する法律案」が参議院財政金融委員会で可決,https://www.customs.go.jp/englishews/movement.htm#20220419
45,4月19日,その他,「経済連携協定（EPA）利用に係るアンケート」の調査結果,https://www.customs.go.jp/english/kyotsu/kokusai/epa_answer.html
46,4月14日,その他,税関におけるRPAによる業務効率化の取組（2022年4月）,https://www.customs.go.jp/english/zeikan/seido/smart/annex5.pdf
47,4月14日,法令,「関税暫定措置法の一部を改正する法律案」が衆議院本会議で可決,https://www.customs.go.jp/englishews/movement.htm#20220414
48,4月14日,採用,令和４年度税関総合職採用パンフレットの掲載について,https://www.customs.go.jp/english/saiyou/pamphlet-s.htm
49,4月13日,法令,「関税暫定措置法の一部を改正する法律案」が衆・財金委で可決,https://www.customs.go.jp/englishews/movement.htm#20220413
50,4月13日,その他,関税率表解説・分類例規の改正について,https://www.customs.go.jp/english/tariff/kaisetu/index.htm
51,4月13日,法令,分類例規の一部改正について（令和4年4月13日財関第255号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu255/index.html
52,4月12日,法令,ロシア連邦を原産地又は船積地域とする貨物の輸入の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z251.pdf
53,4月11日,手続,加工再輸入減税制度マニュアルの更新について,https://www.customs.go.jp/english/tsukan/zanpachi/index.htm
54,4月7日,統計,貿易統計（令和4年3月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
55,4月5日,手続,事前教示回答（減免税）を更新しました,https://www.customs.go.jp/english/zeikan/seido/genmenzei/kaitoujirei.htm
56,4月5日,法令,関税暫定措置法の一部を改正する法律案を国会に提出,https://www.customs.go.jp/englishews/movement.htm#20220405
57,4月5日,その他,ロシアに対する関税における最恵国待遇の撤回について答申,https://www.customs.go.jp/englishews/hodo.htm#20220405
58,4月5日,その他,関税・外国為替等審議会 関税分科会(令和4年3月28日開催) 配布資料一覧,https://www.customs.go.jp/englishews/hodo.htm#20220405
59,4月5日,報道資料,日タイ間でＡＥＯ（認定事業者）制度の相互承認取決めに署名しました,https://www.customs.go.jp/englishews/hodo.htm#20220405
60,4月1日,その他,入国旅客等のMPNによる関税等の納付の利用開始について,https://www.customs.go.jp/english/kaigairyoko/mpn_netbanking.html
61,4月1日,手続,実行関税率表（2022年4月1日版）,https://www.customs.go.jp/english/tariff/2022_04_01/index.htm
62,3月31日,法令,税関職員の身分を示す証票等の書式に関する省令の一部を改正する省令（令和4年財務省令第11号）,https://www.customs.go.jp/englishaisei/shourei.htm
63,3月31日,法令,関税法基本通達等の一部改正について（令和4年3月31日財関第206号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu206/index.html
64,3月31日,法令,関税法基本通達等の一部改正について（令和4年3月31日財関第204号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu204/index.html
65,3月31日,法令,関税暫定措置法施行令第二十五条第一項第一号イ及びロに規定する財務大臣が定める所得水準並びに関税暫定措置法第八条の二第一項に規定する特恵受益国等及び同条第三項に規定する特別特恵受益国を告示する件（令和４年財務省告示第95号）,https://www.customs.go.jp/english/kaisei/kokuji/2022kokuji/2022kokuji95.pdf
66,3月31日,法令,輸出統計品目表及び輸入統計品目表を定める等の件の一部を改正する件（令和4年財務省告示第98号）,https://www.customs.go.jp/english/kaisei/kokuji/2022kokuji/2022kokuji98.pdf
67,3月31日,法令,電子情報処理組織を使用して処理する場合における国税等の徴収関係事務等の取扱いの特例に関する省令及び税関関係法令に係る情報通信技術を活用した行政の推進等に関する省令の一部を改正する省令（令和4年財務省令第12号）,https://www.customs.go.jp/englishaisei/shourei.htm
68,3月31日,法令,関税法施行規則の一部を改正する省令（令和４年財務省令第９号）,https://www.customs.go.jp/englishaisei/shourei.htm
69,3月31日,その他,通い容器に関する免税手続の簡素化の対象拡大について,https://www.customs.go.jp/english/zeikan/seido/menzei.pdf
70,3月30日,統計,貿易統計（令和4年3月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
71,3月29日,法令,ロシア連邦に対する奢侈品の輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z211.pdf
72,3月29日,手続,「通常要すると認められる保険料の額」等について（令和4年度）,https://www.customs.go.jp/english/koujigaku/koujigaku_index.htm
73,3月28日,その他,種苗法施行令で指定される「加工品」の範囲について（令和４年３月28日財関第203号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu203/index.html
74,3月25日,法令,「関税定率法等の一部を改正する法律案」が参・本会議で可決、成立,https://www.customs.go.jp/englishews/movement.htm#20220325
75,3月25日,その他,「税関申告WEB」をリリースしました！,https://www.customs.go.jp/englishtps://www.cd-ws.customs.go.jp/#/
76,3月24日,法令,「関税定率法等の一部を改正する法律案」が参・財金委で可決,https://www.customs.go.jp/englishews/movement.htm#20220324
77,3月22日,その他,RCEP協定のNACCSの原産地証明書識別コードの入力誤りにご注意ください,https://www.customs.go.jp/english/kyotsu/kokusai/gaiyou/rcep/rcep_codechui.html
78,3月18日,法令,マレーシアに対するRCEP協定の発効について,https://www.customs.go.jp/english/kyotsu/kokusai/gaiyou/rcep/rcep_20220118.html
79,3月16日,統計,貿易統計（令和4年2月分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
80,3月15日,法令,ロシア連邦等に対する輸出の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z0153.pdf
81,3月14日,その他,NACCS用品目コード一覧（2022年1月1日）を掲載,https://www.customs.go.jp/english/tariff/2022_01_01/naccscode2022_1.htm
82,3月14日,その他,NACCS用品目コード一覧（2022年1月1日）を掲載,https://www.customs.go.jp/english/tariff/2022_01_01/naccscode2022_2.htm
83,3月11日,その他,税関手続き等に関するアンケート調査について（協力依頼）,https://www.customs.go.jp/english/form/2022/chousa.html
84,3月10日,法令,「関税定率法等の一部を改正する法律案」が衆議院本会議で可決,https://www.customs.go.jp/englishews/movement.htm#20220310
85,3月10日,その他,関税法基本通達の一部改正について（令和４年３月10日財関第140号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu140/index.html
86,3月10日,その他,銃砲刀剣類所持等取締法の一部を改正する法律の施行に伴うクロスボウの輸入時の取扱いについて（令和４年３月10日財関第139号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu139/index.html
87,3月8日,法令,「関税定率法等の一部を改正する法律案」が衆・財金委で可決,https://www.customs.go.jp/englishews/movement.htm#20220308
88,3月7日,統計,貿易統計（令和4年2月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
89,3月4日,報道資料,令和３年の税関における知的財産侵害物品の差止状況,https://www.customs.go.jp/englishews/hodo.htm#20220304
90,2月26日,法令,ウクライナ（「ドネツク人民共和国」（自称）又は「ルハンスク人民共和国」（自称）を原産地とする場合に限る。）からの貨物に対する輸入の禁止措置に伴う税関の対応について,https://www.customs.go.jp/english/kaisei/zeikantsutatsu/kobetsu/TU-R04z0118.pdf
91,2月25日,統計,貿易統計（令和4年2月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
92,2月21日,その他,税関職員の制服に関するアンケートの結果について,https://www.customs.go.jp/english/form/seihuku/seihuku_kekka.pdf
93,2月17日,統計,貿易統計（令和4年1月分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
94,2月16日,報道資料,令和3年の全国の税関における関税法違反事件の取締り状況,https://www.customs.go.jp/englishews/hodo.htm#20220216
95,2月10日,報道資料,中華人民共和国産高重合度ポリエチレンテレフタレートに対する不当廉売関税の課税期間の延長に関する調査を開始します,https://www.customs.go.jp/englishews/hodo.htm#20220210
96,2月7日,その他,関税率表解説及び分類例規の一部改正について（令和4年2月7日財関第84号）,https://www.customs.go.jp/english/kaisei/tsutatsu/2022tsutatsu/2022tsutatsu084/index.html
97,2月7日,統計,貿易統計（令和4年1月上中旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
98,2月1日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_9.pdf
99,2月1日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_10.pdf
100,2月1日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_8.pdf
101,2月1日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_7.pdf
102,2月1日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_6.pdf
103,2月1日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_5.pdf
104,2月1日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_4.pdf
105,2月1日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_3.pdf
106,2月1日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_2.pdf
107,2月1日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220201covid-19_1.pdf
108,2月1日,法令,韓国に対するRCEP協定の発効について,https://www.customs.go.jp/english/kyotsu/kokusai/gaiyou/rcep/rcep_20211206.html
109,1月31日,その他,函館税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_26.pdf
110,1月31日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_25.pdf
111,1月31日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_24.pdf
112,1月31日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_23.pdf
113,1月31日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_22.pdf
114,1月31日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_21.pdf
115,1月31日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_20.pdf
116,1月31日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_18.pdf
117,1月31日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_19.pdf
118,1月31日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_16.pdf
119,1月31日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_17.pdf
120,1月31日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_15.pdf
121,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_14.pdf
122,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_13.pdf
123,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_12.pdf
124,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_11.pdf
125,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_9.pdf
126,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_10.pdf
127,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_8.pdf
128,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_7.pdf
129,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_6.pdf
130,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_5.pdf
131,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_3.pdf
132,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_4.pdf
133,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_1.pdf
134,1月31日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220131covid-19_2.pdf
135,1月28日,法令,関税定率法等の一部を改正する法律案を国会に提出,https://www.customs.go.jp/englishews/movement.htm#20220128
136,1月28日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_11.pdf
137,1月28日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_10.pdf
138,1月28日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_9.pdf
139,1月28日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_8.pdf
140,1月28日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_7.pdf
141,1月28日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_6.pdf
142,1月28日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_5.pdf
143,1月28日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_4.pdf
144,1月28日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_3.pdf
145,1月28日,その他,神戸税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_2.pdf
146,1月28日,その他,神戸税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220128covid-19_1.pdf
147,1月28日,統計,貿易統計（令和4年1月上旬分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
148,1月27日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220127covid-19_5.pdf
149,1月27日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220127covid-19_6.pdf
150,1月27日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220127covid-19_4.pdf
151,1月27日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220127covid-19_3.pdf
152,1月27日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220127covid-19_1.pdf
153,1月26日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_6.pdf
154,1月26日,その他,門司税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_7.pdf
155,1月26日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_5.pdf
156,1月26日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_4.pdf
157,1月26日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_3.pdf
158,1月26日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_2.pdf
159,1月26日,その他,神戸税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220126covid-19_1.pdf
160,1月25日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_8.pdf
161,1月25日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_7.pdf
162,1月25日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_6.pdf
163,1月25日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_5.pdf
164,1月25日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_4.pdf
165,1月25日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_3.pdf
166,1月25日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_2.pdf
167,1月25日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220125covid-19_1.pdf
168,1月24日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_9.pdf
169,1月24日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_8.pdf
170,1月24日,その他,大阪税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_7.pdf
171,1月24日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_6.pdf
172,1月24日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_5.pdf
173,1月24日,その他,名古屋税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_4.pdf
174,1月24日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_3.pdf
175,1月24日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_2.pdf
176,1月24日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220124covid-19_1.pdf
177,1月24日,その他,関税・外国為替等審議会 関税分科会（令和3年11月29日開催）議事録,https://www.customs.go.jp/englishews/hodo.htm#20220124
178,1月21日,その他,函館税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220121covid-19_4.pdf
179,1月21日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220121covid-19_3.pdf
180,1月21日,その他,横浜税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220121covid-19_2.pdf
181,1月21日,その他,東京税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220121covid-19_1.pdf
182,1月20日,その他,HS2022改正ページを更新しました,https://www.customs.go.jp/english/zeikan/seido/classification/hs2022.html
183,1月20日,報道資料,日・モルドバ税関相互支援協定が署名されました,https://www.customs.go.jp/englishews/hodo.htm#20220120
184,1月20日,その他,神戸税関における新型コロナウイルス感染症陽性者の判明について,https://www.customs.go.jp/englishnews/covid-19_2022/20220120covid-19.pdf
185,1月20日,統計,貿易統計（令和3年12月分及び令和3年分速報）,https://www.customs.go.jp/englishoukei/latest/index.htm
