,품목,번역
337,보조기억장치,Auxiliary memory device
338,자두,plum
339,동박,Copper
340,벤젠,benzene
341,알루미늄구조물,Aluminum structure
342,의직물,Fabrication
343,무계목강관,Mu -Gye Mokgang
344,닭고기,chicken
345,폴리에틸렌테레프탈레이트필름,Polyethylene Terephthalate film
346,수상기,seaplane
347,스프링,spring
348,농기계부품,Agricultural machinery
349,꿀,honey
350,인조섬유장섬유사,Artificial fiber
351,겨자,mustard
352,합성섬유,Synthetic fiber
353,농기계,Agricultural machine
354,냉장고,refrigerator
355,변환장치 부분품,Conversion device
356,헬리콥터,Helicopter
357,난방기기,Radiator
358,냉방기부품,Air conditioner
359,흑연,black smoke
360,온수보일러,Hot water
361,모터보트,Motorboat
362,바다가재,Sea lacquer
363,고정식저항기,Fixed food
364,수공구,Hand tool
365,음료베이스,Drink base
366,악기,instrument
367,말,word
368,공기압공구,Air pressure tool
369,현상하지않은필름,Unprecedented film
370,전자석,Electromagnet
371,선재,Prehistoric
372,니켈봉,Nickel
373,섬유기계,Fiber
374,동분,Guitar
375,타이어,tire
376,와이어하네스,Wire harness
377,목욕용 제품,Bath product
378,변성기,Metamorphosis
379,알루미늄괴,Aluminum
380,속도계,speedometer
381,수확탈곡기계,Harvesting machine
382,개별소자반도체,Individual device semiconductor
383,철구조물,Iron structure
384,복합비료,Complex fertilizer
385,철강재체인,Steel
386,제조담배,Mejo cigarette
387,고무플라스틱가공기계부품,Rubber plastic processing machine parts
388,난방기기,Radiator
389,합성수지제 가방,Synthetic resin bag
390,건식 변압기,Dry transformer
391,현악기,String
392,제지인쇄기계부품,Paper printing machine parts
393,동봉,worker bee
394,모자,hat
395,광물가공기계부품,Mineral process
396,대구,Dae-gu
397,소금,salt
398,현미경,microscope
399,강낭콩,kidney bean
400,계전기,relay
401,알루미늄용기,Aluminum container
402,언더셔츠,Undershirt
403,합금강냉연강판,Alloy river cold rolling steel plate
404,자기제 식탁용품,Self -dining table
405,자기제 주방용품,Self -kitchenware
406, 기기,device
407,니켈분,Nickel
408,브라우스,Brown
409,압연기,Rolling machine
410,방송용통신기기,Broadcasting communication device
411,증폭기,amplifier
412,이륜차부품,Two -wheeled car parts
413,식품가공기계,Food machinery
414,스테인레스강 강관,Stainless steel pipe
415,면도용품,Shaving
416,주조 설비 부품,Casting equipment
417,가정용전자,Household electronics
418,자전거부품,Bicycle
419,건전지,battery
420,선박용 불꽃점화식엔진,Ship fireworks point
421,유선 통신기기 부품,Wired communication
422,발전기 부분품,Generator
423,연축전지,Spanning battery
424,수산물,Seafood
425,플라이어,pliers
426,크라프트지,Kraft magazine
427,수산부산물,Fishery
428,면도용 제품,Shaving
429,용접기,welding machine
430,아크릴로니트닐부타디,Acrylonite Neil Butadi
431,축산물부산물,Livestock
432,녹두,green gram
433,농산물왁스,Agricultural
434,폴리아미드필름,Polyamid Film
435,알루니늄관연결구류,Aloninum tube connection
436,배전보드,Distribution board
437,질소비료,Nitrogen fertilization
438,모조 장식품,Imitation
439,알루미늄관,Aluminum tube
440,지방성물질,Fat
441,식품가공기계부품,Food processing machine parts
442,곡실류,Songmill
443,스패너,spanner
444,폴리스티렌,polystyrene
445,목재류,Wood
446,정당,party
447,축전지부품,Festival
448,두류,Two
449,무정전전원장치,Unlimited transfer device
450,전기계측기,Electroplania
451,선풍기,fan
452,선박용 압축점화식 엔진,Ship compression point engine engine
453,변성기,Metamorphosis
454,고압회로접속기,High -pressure circuit connection
455,해바라기씨,Sunflower
456,동선,Copper wire
457,수산화나트륨,Sodium hydroxide
458,낚시용구,Fishing ball
459,유아용냅킨,Napkin
460,광산기계부품,Mining machine
461,스키용품,Skiing
462,신사복상의,Shrine
463,개별소자반도체부품,Individual device semiconductor parts
464,주화,coinage
465,식품포장기계,Food packaging machine
466,비누,soap
467,자전거,bicycle
468,주조설비,Casting equipment
469,마이크로폰,microphone
470,권선,Winding
471,밧데리충전기,Battery
472,밀링공구,Milling tool
473,양말,Amount - say
474,텐트및캠프용품,Tent and camp supplies
475,안전유리,Safety glass
476,손목시계,watch
477,유리용기,Glass container
478,로프,rope
479,전동공구,Power tool
480,메인보드,Motherboard
481,물,water
482,고무플라스틱가공기계,Rubber plastic processing machine
483,여성바지스커트,Female pants skirt
484,연체동물,Mollusk
485,스테인레스강열연강판,Stainless steel
486,남성바지,Male pants
487,드릴링 공구,Drilling tool
488,선박용 부품,Ship
489,측정공구,Measurement tool
490,직물제가방,Fabric
491,차량용의자,Vehicle suspect
492,니켈괴,Nickel
493,식품포장기계부품,Food packaging machine parts
494,니켈관연결구류,Nickel tube connection
495,불도우저,Fire helper
496,오징어,squid
497,전자게임기,Electronic game console
498,토지측량기부품,Land surveyor
499,데이터디스플레이장치,Data Display device
500,토마토케찹,Tomato Keak
501,드레스,dress
502,애자,Cherry
503,판유리,plate glass
504,항공기용의자,Aircraft chair
505,폴리에스테르수지,Polyester resin
506,프로필렌중합체필름,Propylene polymer
507,공구,tool
508,통신선,Communication line
509,,Etc
510,철및비합금강용접강관(중소),Steel and non -combined gold steel tobility (small and medium)
511,아답터,adapter
512,단강,Danggang
513,종자류,Seed
514,진주 장식품,Pearl
515,알루미늄박,Aluminum
516,명란,Cod roof
517,마요네스,Mayones
518,탄소부품,Carbon parts
519,부틸고무,Butyl rubber
520,폐건전지,Pulmonary battery
521,인체용 탈취제,Human body deodorant
522,신발부분품,Shoe
523,홍차,black tea
524,미술 용구,Art
525,밀가루,flour
526,알루미늄분,Aluminum
527,발포성 폴리스티렌,Foamed
528,텅스텐제품,Tungsten
529,명태,Pollock
530,고무밸트,Rubber belt
531,용의 전기로,Dragon
532,목제식탁용품,Wooden
533,고무제의류,Rubber clothing
534,집적회로반도체부품,Integrated circuit semiconductor parts
535,차단기 부분품,Breaker
536,칼륨비료,Potassium
537,주철제관연결구류,Cast iron consolidation
538,바지,pants
539,스커트,skirt
540,딸기,Strawberry
541,관악기,wind
542,정기간행물,Periodical
543,지게차,fork lift
544,알루미늄 선,Aluminum line
545,곡류,Grain
546,플라스틱깔개및벽피복,Plastic pallets and walls
547,면류,noodles
548,프로필렌,Propylene
549,타일,tile
550,혁제의류,Revolutionary clothing
551,광학유리,Optical glass
552,경작기계,Agreement
553,철및비합금강냉연강판,Iron and Non -Gold River cold rolling steel plate
554,보링공구,Boring tool
555,가열기구,Heating equipment
556,양파,onion
557,인형,doll
558,남성셔츠,Male shirt
559,완두,pea
560,동제품,Dongje
561,스테인레스강중후판,Stainless steel plate
562,유입식 변압기,Inflow transformer
563,시계,watch
564,동광,Copper mine
565,새우,shrimp
566,타악기,percussion instrument
567,중량계,Weightometer
568,파워서플라이,Power supply
569,음향기기부품,Sound equipment parts
570,우유,milk
571,가변식저항기,Variable resistance
572,화초,Flora
573,SBR,SBR
574,실내용품,Indoor
575,오이,cucumber
576,VCR,VCR
577,편직제의류,Knitting
578,화장용품,Cosmetics
579,실험실용 전기로,Experimental practical electricity
580,니켈스크랩,Nickel scrap
581,낙농기계,Dairy
582,천체관측기기,Celestial instrument
583,식물성한약재,Vegetable
584,전기강판,Electric steel sheet
585,버스및화물차용타이어,Bus and cargo tires
586,합금강중후판,Alloy
587,손수건 스카프,Handkerchief
588,검,knife
589,해양구조물,Marine structure
590,가변식축전기,Variable
591,원자로 및 부분품,Reactor and parts
592,동관연결구류,Dongguan connection detention
593,퓨우즈,Puzuz
594,화장지,paper towel
595,동물성유지,Animal maintenance
596,유리식기및장식품,Glass and intestinal food
597,인삼류,Ginseng
598,고압 개폐기,High -voltage
599,고압 차단기,High pressure breaker
600,혈압측정기,Blood pressure meter
601,전자응용기기부품,Electronic application device parts
602,커튼,curtain
603,불꽃점화식,Flamies
604,진공청소기,Vacuum cleaner
605,편직물,Knitting
606,자기공명촬영기,Magnetic resonance shooter
607,카메라,camera
608,심전계,Electrocardiography
609,안정기,ballast
610,여성양복상의,Female
