date,title,link,content
04/07/2022,"Additions of Entities to the Entity List, effective April 01, 2022 ",,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine on February 24, 2022, the Department of Commerce is amending the Export Administration Regulations (EAR) by adding 120 entities under 120 entries to the Entity List. These 120 entities have been determined by the U.S. Government to be acting contrary to the national security interests or foreign policy of the United States and will be listed on the Entity List under the destinations of Belarus and Russia. "
03/16/2022,Imposition of Sanctions on ‘Luxury Goods’ Destined for Russia and Belarus and for Russian and Belarusian Oligarchs and Malign Actors Under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine, and Belarus’s substantial enabling of Russia’s invasion, the Department of Commerce is imposing restrictions on the export, reexport, or transfer (in-country) to or within Russia or Belarus of ‘luxury goods’ under the Export Administration Regulations (EAR) and for exports, reexports and transfers (in-country) worldwide to certain Russian or Belarusian oligarchs and other malign actors supporting the Russian or Belarusian governments.? Taken together, these new export controls will significantly limit financially elite individuals’ and organizations’ access to luxury goods and thereby accentuate the consequences of providing such support."
03/10/2022,Addition to the List of Countries Excluded from Certain License Requirements under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine, and to protect?? U.S. national security and foreign policy interests, the Department of Commerce has added new and highly restrictive license requirements and policies for certain transactions involving Russia and Belarus under the Export Administration Regulations (EAR).? In order to recognize partner countries that have committed to implementing substantially similar new export controls on Russia and Belarus in their domestic laws, the Department of Commerce has published a list of countries excluded from portions of these new U.S. export controls.? These exclusions apply specifically to certain requirements under the EAR related to foreign-produced items.? In this rule, the Department of Commerce adds the Republic of Korea (South Korea) to the list of excluded countries. "
03/09/2022,Further Imposition of Sanctions Against Russia with the Addition of Certain Entities to the Entity List,,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine on February 24, 2022, the Department of Commerce is amending the Export Administration Regulations (EAR) by adding 91 new entities to the Entity List under the destinations of Belize, Estonia, Kazakhstan, Latvia, Malta, Russia, Singapore, Slovakia, Spain, and United Kingdom with this final rule. These 91 entities have been determined by the U.S. Government to be acting contrary to the foreign policy or national security interests of the United States. BIS notes that this rule is meant to serve as a response to Russian aggression against Ukraine. This rule does include entities in several allied countries, including member of the European Union and North Atlantic Treaty Organization, but is not an action against the countries in which the entities are located or registered or the governments of those countries. This rule only serves as an action against those entities listed, which have assisted the Russian military, contrary to U.S. foreign and national security policy interests."
03/08/2022,Expansion of Sanctions Against the Russian Industry Sector Under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine, the Department of Commerce is expanding the existing sanctions against the Russian industry sector by adding a new prohibition under the Export Administration Regulations (EAR) that targets the oil refinery sector in Russia. These new export controls will further limit revenue that could support the military capabilities of Russia."
03/08/2022,Imposition of Sanctions Against Belarus Under the Export Administration Regulations (EAR),,"In response to Belarus’s substantial enabling of the Russian Federation’s (Russia)’s further invasion of Ukraine, this rule is adding new license requirements and review policies for Belarus to the Export Administration Regulations (EAR) to render Belarus subject to the same sanctions that were imposed on Russia under the EAR effective February 24, 2022.? These new sanctions impose new Commerce Control List (CCL)-based license requirements for Belarus; revise the two foreign “direct product” rules (FDP rules) that are specific to Russia and Russian ‘military end users’ to make them? also applicable to Belarus and Belarusian ‘military end users;’ specify a license review policy of denial applicable to all of the license requirements on Belarus that are being added in this rule, with certain limited exceptions; significantly restrict the use of EAR license exceptions; expand the existing ‘military end use’ and ‘military end user’ control scope to include Belarus for all items “subject to the EAR” other than food and medicine designated EAR99; and add two new Belarusian entities to the Entity List as ‘military end users.’? This rule also imposes a license requirement for nuclear nonproliferation items for exports and reexports to Belarus and removes Belarus from Country Group A:4 under the EAR.? In addition, for Belarus and Russia, this rule amends the availability of License Exceptions AVS and ENC and includes clarifying guidance on the availability of CCD."
03/03/2022,Implementation of Sanctions Against Russia Under the Export Administration Regulations (EAR),,"In response to the Russian Federation’s (Russia’s) further invasion of Ukraine, with this final rule, the Department of Commerce is adding new Russia license requirements and licensing policies to the Export Administration Regulations (EAR) to protect U.S. national security and foreign policy interests.? These new Russia measures: impose new Commerce Control List (CCL)-based license requirements for Russia; add two new foreign “direct product” rules (FDP rules) specific to Russia and Russian ‘military end users;’ specify a license review policy of denial applicable to all of the license requirements being added in this rule, with certain limited exceptions; significantly restrict the use of EAR license exceptions; expand the existing Russia ‘military end use’ and ‘military end user’ control scope to all items “subject to the EAR” other than food and medicine designated EAR99, or ECCN 5A992.c and 5D992.c unless for Russian “government end users” and Russian state-owned enterprises (SoEs); transfer forty-five Russian entities from the Military End-User (MEU) List to the Entity List with an expanded license requirement of all items subject to the EAR (including foreign-produced items subject to the Russia-MEU FDP rules); and add two new Russia entities and revise two Russia entities to the Entity List.? Lastly, this rule imposes?comprehensive export, reexport and transfer (in-country) restrictions for the?so-called Donetsk People’s Republic (DNR) and Luhansk People’s Republics (LNR) regions of Ukraine (“Covered Regions?of Ukraine”) and makes conforming revisions to export, reexport transfer (in-country) restrictions for Crimea Region of Ukraine provisions."
02/14/2022,Addition of Certain Entities to the Entity List,,"This final rule amends the Export Administration Regulations (EAR) by adding seven entities under seven entries to the Entity List. These seven entities have been determined by the U.S. Government to be acting contrary to the foreign policy or national security interests of the United States and will be listed on the Entity List under the destinations of the People’s Republic of China (China), Pakistan, and the United Arab Emirates (UAE). This final rule also modifies four existing entries on the Entity List under the destination of China."
02/10/2022,Request for Public Comments on the Section 232 Exclusions Process,,"The Bureau of Industry and Security (BIS) is seeking public comments regarding the Section 232 Exclusions Process. A Presidential Proclamation (Adjusting Imports of Steel into the United States), published on January 3, 2022, directed the Secretary of Commerce to seek public comment on the Section 232 Exclusions Process, including its responsiveness to market demand and enhanced consultation with U.S. firms and labor organizations."
02/08/2022,Revisions to the Unverified List,,The Bureau of Industry and Security (BIS) is amending the Export Administration Regulations?by?adding thirty-three (33) persons to the Unverified List (UVL).? The thirty-three persons are added to the UVL on the basis that BIS was unable to verify their?bona fides?because an end-use check could not be completed satisfactorily for reasons outside the U.S. Government’s control.?All thirty-three persons added to the UVL in this rule are listed under?China.??
02/03/2022,"Foreign-Direct Product Rules: Organization, Clarification, and Correction",,"This final rule?clarifies, reorganizes, and makes?minor corrections to the provisions of the foreign-direct product (FDP) rules.? Before this final rule, the FDP rules appeared in parts 736 and 744 of the Export Administration Regulations (EAR); now, the rules are consolidated in part 734 of the EAR.? These revisions clarify the applicability of the FDP rules and make one correction applicable to the FDP rules as to the term “U.S.-origin technology and software.”"
01/12/2022,Information Security Controls: Cybersecurity Items; Delay of Effective Date,,"On October 21, 2021, the Bureau of Industry and Security (BIS) published an interim final rule that establishes new controls on certain cybersecurity items for National Security (NS) and Anti-terrorism (AT) reasons, along with a new License Exception, Authorized Cybersecurity Exports (ACE), that authorizes exports of these items to most destinations except in the circumstances described in that rule.? That rule was published with a 45-day comment period, which ended on December 12, 2021, and a 90-day delayed effective date (January 19, 2022). This rule delays the effective date of the interim final rule by 45 days (March 7, 2022).? This action does not extend or reopen the comment period for BIS’s previous request for comments on the interim final rule."
01/06/2022,Export Control Classification Number 0Y521 Series Supplement?Extension of Controls on an Emerging Technology (Software Specially Designed To Automate the Analysis of Geospatial Imagery Classification),,"On January 6, 2020, the Bureau of Industry and Security (BIS) amended the Export Administration Regulations (EAR) to add Software Specially Designed to Automate the Analysis of Geospatial Imagery to the 0Y521 Temporary Export Control Classification Numbers (ECCN) Series as 0D521. BIS first extended controls on this emerging technology for a second year pursuant to the 0Y521 series extension procedures on January 6, 2021, and in this action extends these controls a second time for an additional year for a total of three years of this control since it was added to the EAR on January 6, 2020. In response to the Russian Federation’s (Russia) ongoing aggression in Ukraine following its further invasion of the country, as substantially enabled by Belarus, this rule expands license requirements for Russia and Belarus under the Export Administration Regulations (EAR) to all items on the Commerce Control List (CCL). It also removes license exception eligibility for aircraft registered in, owned or controlled by, or under charter or lease by Belarus or a national of Belarus."
12/29/2021?,Additional Protocol Regulations: Mandatory Electronic Submission of Reports through the Additional Protocol Reporting System (APRS),,"existing manual reporting and processing procedures with a mandatory requirement to submit reports and other documents on-line through the Additional Protocol Reporting System (APRS).? As a result of this proposed change, all persons and locations in the United States that are subject to the reporting requirements in the APR would be required to register on-line to set up an APRS account, submit reports and other documents to BIS via APRS, and maintain current user account information in APRS.? This rule also proposes to amend the APR to clarify and update other requirements (e.g., by removing the provisions that address the Initial Report requirements for calendar year 2008, replacing the provisions that address Amended Report requirements, and revising the definitions of certain terms used in the APR)."
12/17/2021?,"Addition of Entities and ReviIn this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding thirty-seven entities under forty entries to the Entity List.  These thirty-seven entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States.  These entities will be listed on the Entity List under the destinations of the People’s Republic of China (China), Georgia, Malaysia and Turkey. This rule also revises one existing entry on the Entity List under the destination of China.sion of Entries on the Entity List??",,
12/09/2021???????????,"Revision to Controls for CIn response to deepening Chinese military influence in Cambodia, which undermines and threatens regional security, as well as growing corruption and human rights abuses by the Government of Cambodia, in this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) to apply more restrictive treatment to exports and reexports to, and transfers within, Cambodia of items subject to the EAR.  BIS is taking this action to address recent actions by the Government of Cambodia that are contrary to the national security and foreign policy interests of the United States. Further, BIS updates a Country Group designation for Cambodia under the EAR to reflect the country’s identification by the State Department as subject to a United States arms embargo.ambodia under the Export Administration Regulations",,
11/26/2021,Addition of Entities and Revision of Entries on the Entity List; and Addition of Entity to the Military End-User (MEU) List,,"In this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding twenty-seven entities to the Entity List. These twenty-seven entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States. These entities will be listed on the Entity List under the destinations of the People’s Republic of China (China), Japan, Pakistan, and Singapore. This rule also revises one existing entry on the Entity List under the destination of China, adds addresses under the destination of Taiwan for a listed entity, and corrects an entry under the destination of China. In addition, this rule amends the EAR by adding one entity to the Military End-User (MEU) List under the destination of Russia."
10/26/2021,Request for Comments Concerning the Imposition of Export Controls on Certain Brain-Computer Interface (BCI) Emerging Technology,,"This advance notice of proposed rulemaking (ANPRM) requests feedback from the public and U.S. industry concerning the potential uses of Brain-Computer Interface (BCI) technology, particularly with respect to its impact on U.S. national security (e.g., whether such technology could provide the United States, or any of its adversaries, with a qualitative military or intelligence advantage), and also whether effective export controls could be implemented on such technology.? BCI technology has been identified as a technology for evaluation as a potential emerging technology, consistent with the interagency process described in Section 1758 of the Export Control Reform Act of 2018 (ECRA).? BCIs provide a direct communication pathway between an enhanced or wired brain and an external device, with bidirectional information flow.? BCIs frequently involve a process in which brain signals are acquired, analyzed and then translated into commands that are:? (1) used to control machines; (2) potentially transferred to other humans; or (3) used for human assessment or enhancement."
10/22/2021,Clarifications of Availability and Expansion of Restrictions on Availability of License Exception Strategic Trade Authorization Under the Export Administration Regulations,,"In this rule, the Bureau of Industry and Security (BIS) proposes to amend the Export Administration Regulations (EAR) to clarify and expand restrictions on the availability of License Exception Strategic Trade Authorization (License Exception STA or STA) for the export, reexport and transfer (in-country) of certain items controlled under the EAR. Specifically, BIS proposes to clarify the ‘‘Special Conditions for STA’’ paragraph in certain Category 9 Export Control Classification Numbers (ECCNs) on the Commerce Control List to refer exporters to the limitations set forth in the EAR. Also, continuing its efforts to improve export controls and refine License Exception STA, BIS proposes to further restrict the availability of License Exception STA for certain technology controlled under ECCNs 2E003.f and 1E001. This rule also proposes related conforming amendments in License Exception STA and in affected ECCNs.? Comments are due on this proposed rule by December 6, 2021."
10/21/2021,Information Security Controls: Cybersecurity Items,,"This interim final rule outlines the progress the United States has made in export controls pertaining to cybersecurity items, revised Commerce Control List (CCL) implementation, and requests from the public information about the impact of these revised controls on U.S. industry and the cybersecurity community. Specifically, this rule establishes a new control on these items for National Security (NS) and Anti-terrorism (AT) reasons, along with a new License Exception Authorized Cybersecurity Exports (ACE) that authorizes exports of these items to most destinations except in the circumstances described.? These items warrant controls because these tools could be used for surveillance, espionage, or other actions that disrupt, deny or degrade the network or devices on it.?Comment Due Date:?12/12/2021"
10/06/2021,Control of Deuterium That is Intended for Use Other Than in a Nuclear Reactor Under the Export Administration Regulations (EAR).?,,"The Department of Commerce is publishing this final rule in conjunction with a U.S. Nuclear Regulatory Commission (NRC) final rule to revise its regulations to remove the NRC’s licensing authority for exports of deuterium for non-nuclear end use.? The responsibility for the licensing of exports of deuterium for non-nuclear end use is being transferred to the Department of Commerce’s Bureau of Industry and Security (BIS).? BIS is publishing this final rule to include deuterium under its export licensing jurisdiction under the Export Administration Regulations (EAR).? This Commerce final rule describes the changes made to the EAR to control the deuterium moved from the export control authority of the NRC to the export control authority of BIS under the EAR.? Exports of deuterium for nuclear end use will remain under the NRC’s export licensing jurisdiction.??This rule is effective December 6, 2021.?"
10/05/2021,Commerce Control List:? Expansion of Controls on Certain Biological Equipment “Software.”,,"This final rule amends the EAR to implement the decision made at the Australia Group (AG) Virtual Implementation Meeting session held in May 2021, and later adopted pursuant to the AG’s silence procedure, that updated the AG Common Control List for dual-use biological equipment by adding controls on nucleic acid assembler and synthesizer “software” that is capable of designing and building functional genetic elements from digital sequence data.? Consistent with this AG decision, this final rule amends the EAR by adding new Export Control Classification Number (ECCN) 2D352 to the Commerce Control List (CCL) to control this “software.”? In addition, this rule amends ECCN 2E001 to control,?inter alia, “technology” for the “development” of this “software.”? This rule also makes conforming changes to Section 742.2 of the EAR to reflect the addition of ECCN 2D352 to the CCL and to indicate that “technology” for the “development” of “software” controlled by new ECCN 2D352 is controlled by ECCN 2E001.? Prior to this AG decision, BIS, consistent with the interagency process described in the Export Control Reform Act of 2018 (ECRA), identified this “software” as a technology to be evaluated as an emerging technology."
10/05/2021,"Editorial Revisions, Clarifications, and Corrections to the Export Administration Regulations",,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by making targeted editorial corrections and clarifications.? The errors addressed by this rule were inadvertent and these corrections will provide clarity and facilitate understanding of the regulations. This rule ensures that the language and policies already set forth in the EAR remain consistent throughout.?"
08/19/2021,"Control of Firearms, Guns, Ammunition and Related Articles the President Determines No Longer Warrant Control under the United States Munitions List (USML).",,"On January 23, 2020, the Department of Commerce published a final rule in conjunction with a Department of State final rule to revise Categories I (firearms, close assault weapons and combat shotguns), II (guns and armaments), and III (ammunition/ordnance) of the United States Munitions List (USML) and transfer items that no longer warrant control on the USML in the International Traffic in Arms Regulations (ITAR) to the Commerce Control List (CCL). This final rule makes corrections and clarifications to the January 23 rule. The changes made in this final rule are intended to make the requirements easier to understand, interpreted consistently, and in accordance with the intent of the Commerce January 23 rule. This rule is effective September 20, 2021."
08/02/2021,"Publication of a Report on the Effect of Imports of Uranium on the National Security: An Investigation Conducted Under Section 232 of the Trade Expansion Act of 1962, as Amended.",,"This notice publishes a report that summarizes the findings of an investigation conducted by the U.S. Department of Commerce pursuant to Section 232 of the Trade Expansion Act of 1962, as amended, into the effect of imports of uranium on the national security of the United States."
07/19/2021,Addition of Entities and Revision of Entry on the Entity List,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding six entities to the Entity List. These six entities, all of which are being added under the destination of Russia, have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States and are being added consistent with Executive Order 14024, Blocking Property With Respect To Specified Harmful Foreign Activities of the Government of the Russian Federation, issued on April 15, 2021. This rule also corrects one existing entry on the Entity List under the destination of Russia."
07/12/2021,Addition of Certain Entities to the Entity List; Revision of Existing Entry on the Entity List; Removal of Entity from the Unverified List; and Addition of Entity to the Military End-User (MEU) List,,"This final rule amends the Export Administration Regulations (EAR) by adding thirty-four entities under forty-three entries to the Entity List. These thirty-four entities have been determined by the U.S. Government to be acting contrary to the foreign policy interests of the United States and will be listed on the Entity List under the destinations of Canada; People’s Republic of China (China); Iran; Lebanon; Netherlands (The Netherlands); Pakistan; Russia; Singapore; South Korea; Taiwan; Turkey; the United Arab Emirates (UAE); and the United Kingdom. This final rule also revises one entry on the Entity List under the destination of China. This final rule also removes one entry from the Entity List under the destination of Germany. This final rule removes one entity from the Unverified List, as a conforming change to this same entity being added to the Entity List. In addition, this final rule amends the EAR by adding one entity to the Military End-User (MEU) List under the destination of Russia."
07/06/2021,Addition of Certain Entities to the Entity List; Correction of Existing Entry on the Entity List published.,,"This final rule amends the Export Administration Regulations (EAR) by adding four entities to the Entity List. These four entities have been determined by the U.S. Government to be acting contrary to the foreign policy and national security interests of the United States and will be listed on the Entity List under the destination of Burma. This rule also amends the EAR by correcting the address of one entity, listed under Burma, on the Entity List. This rule is effective July 6, 2021."
06/24/2021,Addition of Certain Entities to the Entity List,,"In this final rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding five entities to the Entity List. These five entities have been determined by the United States Government to be acting contrary to the foreign policy interests of the United States and will be listed on the Entity List under the destination of the People’s Republic of China (China)."
06/01/2021,Export Administration Regulations: Termination of United Arab Emirates Participation in the Arab League Boycott of Israel,,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding eight entities to the Entity List.? These eight entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States.? These entities will be listed on the Entity List under the destinations of Pakistan and the United Arab Emirates (UAE).? This rule also revises two existing entries and corrects one existing entry on the Entity List under the destination of China and removes one entity from and revises one existing entry on the Military End-User (MEU) List under the destination of China.? Lastly,?this rule removes one entity under the destination of Pakistan.? The removals from the Entity List and MEU List are made in connection with requests for removal that BIS received pursuant to the EAR and a review of information provided in those requests."
06/01/2021,"Control of Firearms, Guns, Ammunition and Related Articles the President Determines No Longer Warrant Control Under the United States Munitions List (USML); Notifying the Public of the Transfer of Jurisdiction of Certain Technology and Software as a Result of a Vacated March 6, 2020 Injunction",,"The Bureau of Industry and Security (BIS) is publishing this notification to the public concerning the transfer of jurisdiction of certain ‘‘software’’ and ‘‘technology’’ as a result of action by the Court of Appeals for the Ninth Circuit vacating a March 6, 2020 preliminary injunction by the district court in Washington v. U.S. Dep’t of State, No. 20?35391, 2021 WL 1621320, 2021 U.S. App. LEXIS 12448 (9th Cir. Apr. 27, 2021). Pursuant to that decision, issued on April 27, 2021, the mandate of the Ninth Circuit was issued on May 26, 2021 and district court’s injunction was vacated. This notice also includes guidance to persons with technology or software that was previously retained on the U.S. Munitions List (USML) and controlled under the International Traffic in Arms Regulations (ITAR) pursuant to the March 6 district court order, but which is now subject to the jurisdiction of the Export Administration Regulations (EAR)."
04/09/2021,Expansion of Certain End-Use and End-User Controls and Controls on Specific Activities of U.S. Persons; Corrections; and Burma Sanctions.,,"On January 15, 2021, the Bureau of Industry and Security (BIS) published an interim final rule establishing end-use and end-user controls, as well as controls on specific activities of U.S. persons, with respect to certain military-intelligence end uses and end users. These new controls were made effective on March 16, 2021. In this interim final rule, BIS is making technical corrections and conforming changes to certain provisions of the Export Administration Regulations to address inadvertent errors introduced by the January 15, 2021 rule. This interim final rule also adds Burma to the list of countries subject to military-intelligence-related controls that were added by the prior rule. This action strengthens sanctions on Burma that were imposed on March 8, 2021 in response to a February 1, 2021 military coup."
04/09/2021,"Addition of Entities to the Entity List, effective April 8, 2021",,"In this rule, the Bureau of Industry and Security (BIS) amends the Export Administration Regulations (EAR) by adding seven entities to the Entity List.? These seven entities have been determined by the U.S. Government to be acting contrary to the national security or foreign policy interests of the United States.? These seven entities will be listed on the Entity List under the destination of the People’s Republic of China (China)."
03/29/2021,Export Administration Regulations: Implementation of Wassenaar Arrangement 2019 Plenary Decisions; Elimination of Reporting Requirements for Certain Encryption Items,,"This final rule revises the Commerce Control List (CCL), as well as corresponding parts of the EAR, to implement changes to the Wassenaar Arrangement List of Dual-Use Goods and Technologies (WA List) that were decided upon by governments participating in the Wassenaar Arrangement on Export Controls for Conventional Arms and Dual-Use Goods and Technologies (Wassenaar Arrangement, or WA) at the December 2019 WA Plenary meeting."
03/18/2021,Russia: Implementation of Chemical and Biological Weapons Control and Warfare Elimination Act of 1991 (CBW Act) Sanctions,,"The Secretary of State, acting under authority delegated pursuant to Executive Order 12851, has determined pursuant to the Chemical and Biological Weapons Control and Warfare Elimination Act of 1991 (CBW Act) that the Government of the Russian Federation has used chemical or biological weapons in violation of international law or lethal chemical or biological weapons against its own nationals. The sanctions imposed on Russia in connection with this determination include a prohibition, subject to partial waiver, on the export to Russia of national security-controlled goods and technology subject to the Export Administration Regulations (EAR). Pursuant to the EAR, BIS already maintains controls on exports and reexports to Russia of national security-controlled “items” (commodities, software, and technology) that are subject to the EAR.?? This notice informs the public that, consistent with BIS’s implementation of the CBW Act sanctions, certain license exceptions will be suspended for use with national security-controlled items destined for Russia, and most license applications for exports or reexports of national security-controlled items destined for Russia will be reviewed under a presumption of denial."
03/17/2021,Expansion of Certain End-Use and End-User Controls and Controls on Specific Activities of U.S. Persons; CORRECTION,,"The Bureau of Industry and Security (BIS), Department of Commerce, is correcting an interim final rule, “Expansion of Certain End-Use and End-User Controls and Controls on Specific Activities of U.S. Persons,” that appeared in the Federal Register of January 15, 2021 (hereinafter referred to as the January 15 rule) by revising an incorrect instruction that would have resulted in the inadvertent deletion of two subparagraphs of the Export Administration Regulations’ (EAR) restrictions on certain rocket systems and unmanned aerial vehicles."
